userId,courseId,progressStatus,last_updated,modulesCompleted
1,376,in_progress,2024-01-15 19:01:03.000,16
1,376,in_progress,2024-03-26 01:05:43.000,19
1,376,completed,2024-09-19 23:04:24.000,20
2,331,in_progress,2024-01-18 01:59:25.000,6
2,331,completed,2024-07-30 06:51:29.000,10
2,119,in_progress,2024-07-18 11:08:39.000,6
2,119,completed,2024-08-17 06:29:20.000,8
3,367,in_progress,2023-10-19 02:23:32.000,9
3,367,completed,2024-01-19 20:27:54.000,10
3,341,in_progress,2023-12-05 03:41:02.000,19
3,341,in_progress,2024-08-22 19:26:14.000,20
3,341,in_progress,2024-09-23 16:17:57.000,22
3,341,completed,2024-10-02 13:01:11.000,23
4,357,in_progress,2024-09-09 22:45:05.000,3
4,357,in_progress,2024-09-28 02:42:32.000,5
4,357,completed,2024-09-29 07:12:47.000,7
5,110,in_progress,2023-12-19 08:03:57.000,8
5,110,in_progress,2024-06-10 01:48:57.000,9
5,110,in_progress,2024-07-19 07:18:54.000,13
5,110,completed,2024-09-04 20:27:27.000,14
5,231,in_progress,2024-03-12 04:21:11.000,3
5,231,in_progress,2024-08-27 23:42:08.000,6
5,231,in_progress,2024-09-11 14:35:20.000,9
5,231,completed,2024-09-29 12:39:38.000,14
6,381,in_progress,2024-03-20 02:13:34.000,1
6,381,in_progress,2024-06-13 18:09:59.000,5
6,381,in_progress,2024-08-17 04:10:42.000,8
6,381,in_progress,2024-09-12 11:52:41.000,9
6,381,in_progress,2024-10-04 10:11:47.000,11
7,239,in_progress,2024-01-13 19:39:15.000,0
7,239,in_progress,2024-05-07 14:42:58.000,1
7,239,in_progress,2024-06-18 05:54:20.000,3
7,239,completed,2024-07-09 01:14:28.000,5
7,134,in_progress,2024-03-31 02:03:29.000,11
7,134,in_progress,2024-05-24 23:13:19.000,28
7,134,completed,2024-06-21 07:20:39.000,29
8,51,in_progress,2024-09-11 16:44:48.000,7
8,51,in_progress,2024-09-14 20:30:08.000,27
8,51,in_progress,2024-09-15 01:38:58.000,28
8,51,completed,2024-09-16 11:41:18.000,29
9,232,in_progress,2024-02-20 16:14:55.000,23
9,232,completed,2024-05-07 20:47:58.000,24
9,9,in_progress,2024-09-28 02:28:22.000,2
9,9,in_progress,2024-10-04 10:43:20.000,22
9,9,in_progress,2024-10-05 13:07:43.000,25
9,9,in_progress,2024-10-07 08:44:05.000,26
9,9,in_progress,2024-10-07 08:55:31.000,28
9,66,in_progress,2024-08-09 04:26:41.000,13
9,66,completed,2024-09-11 01:43:44.000,15
10,380,in_progress,2024-10-02 09:14:01.000,1
10,380,in_progress,2024-10-06 17:37:40.000,6
10,380,completed,2024-10-06 22:19:55.000,8
10,1,in_progress,2024-09-22 10:15:25.000,2
10,1,in_progress,2024-10-02 01:09:49.000,3
10,1,in_progress,2024-10-05 16:59:44.000,5
10,1,completed,2024-10-06 18:48:18.000,6
11,256,in_progress,2024-02-07 22:55:19.000,3
11,256,in_progress,2024-07-14 20:19:08.000,23
11,256,completed,2024-07-20 19:56:10.000,25
11,282,in_progress,2024-07-27 23:22:47.000,2
11,282,in_progress,2024-10-05 15:28:16.000,6
11,282,in_progress,2024-10-06 17:17:41.000,9
11,282,in_progress,2024-10-06 18:08:13.000,10
11,282,completed,2024-10-07 01:40:07.000,13
11,362,in_progress,2024-01-24 03:54:34.000,10
11,362,completed,2024-07-14 01:47:43.000,11
12,9,in_progress,2024-09-28 09:05:23.000,16
12,9,in_progress,2024-10-02 20:55:41.000,24
12,9,in_progress,2024-10-03 23:25:15.000,26
12,9,in_progress,2024-10-06 02:32:35.000,28
12,9,in_progress,2024-10-06 02:44:19.000,29
12,197,in_progress,2024-07-27 01:21:38.000,6
12,197,in_progress,2024-10-02 07:33:20.000,8
